label,target,sample_flag,n,firms,events,event_rate,coef,cluster_se,z,p_value,odds_ratio,ame,controls,fixed_effects,error
Broad stress appendix,broad_stress_12m_appendix,broad_baseline_sample_flag,19344,2322,12285,0.6350806451612904,-0.571184719687945,0.07837476369184009,-7.287865287017298,3.149046026199519e-13,0.5648558462962453,-0.0877352092737862,"roa_w, leverage_w, log_assets_w, revenue_growth_w","market, fiscal_year",
Strict accounting stress 12m,strict_accounting_stress_12m_candidate,strict_accounting_sample_flag,19322,2322,7874,0.4075147500258772,-0.34169365441587246,0.07293338201944871,-4.685010415734664,2.7994569598395146e-06,0.71056585008053,-0.07212034101816353,"roa_w, leverage_w, log_assets_w, revenue_growth_w","market, fiscal_year",
Persistent broad stress 24m,persistent_broad_stress_24m_candidate,persistent_sample_flag,16984,2278,9772,0.5753650494583137,-0.621519523769828,0.08462941165839767,-7.344013287940132,2.072825314774674e-13,0.5371276389645319,-0.10099661370621506,"roa_w, leverage_w, log_assets_w, revenue_growth_w","market, fiscal_year",
Altman distress zone 12m,altman_distress_12m_candidate,altman_sample_flag,3459,618,1418,0.4099450708297196,-0.34219956262062334,0.20213502912921416,-1.6929255859056145,0.09046963246810832,0.7102064599038432,-0.0715213952541873,"roa_w, leverage_w, log_assets_w, revenue_growth_w","market, fiscal_year",
Broad event candidate 12m,event_distress_12m_candidate,event12_sample_flag,19353,2322,4026,0.2080297628274686,-0.7503669255946979,0.09536528166971912,-7.868344878311813,3.5936377856939524e-15,0.4721932611572378,-0.09816147950758332,"roa_w, leverage_w, log_assets_w, revenue_growth_w","market, fiscal_year",
